time,ref_price,bucket_width,buy_wall_price,buy_strength,buy_imbalance,buy_long,buy_short,buy_total,sell_wall_price,sell_strength,sell_imbalance,sell_long,sell_short,sell_total
2026-01-28T16:00:00Z,5278.28,0.5,,,,,,,5300.0,0.1249,-0.1249,0.0,0.1249,0.1249
2026-01-28T16:20:00Z,5287.595,0.5,,,,,,,5300.0,0.1558,-0.1558,0.0,0.1558,0.1558
2026-01-28T16:40:00Z,5283.19,0.5,,,,,,,5300.0,0.1245,-0.1245,0.0,0.1245,0.1245
2026-01-28T17:00:00Z,5299.875,0.5,,,,,,,5303.0,0.1248,-0.1248,0.0,0.1248,0.1248
2026-01-28T17:20:00Z,5293.365,0.5,5310.0,0.0621,0.0621,0.0932,0.0311,0.12430000000000001,5314.5,0.1553,-0.1553,0.0,0.1553,0.1553
2026-01-28T17:40:00Z,5284.895,0.5,,,,,,,,,,,,
2026-01-28T18:00:00Z,5298.11,0.5,5310.0,0.062,0.062,0.093,0.031,0.124,5311.0,0.062,-0.062,0.031,0.093,0.124
2026-01-28T18:20:00Z,5310.41,0.5,,,,,,,,,,,,
2026-01-28T18:40:00Z,5274.17,0.5,,,,,,,,,,,,
2026-01-28T19:00:00Z,5282.595,0.5,,,,,,,5270.0,0.0944,-0.0944,0.0314,0.1258,0.1572
2026-01-28T19:20:00Z,5296.75,0.5,5310.0,0.0943,0.0943,0.0943,0.0,0.0943,,,,,,
2026-01-28T19:40:00Z,5301.035,0.5,5310.0,0.0943,0.0943,0.0943,0.0,0.0943,,,,,,
2026-01-28T20:00:00Z,5325.42,0.5,,,,,,,5350.0,0.126,-0.126,0.0,0.126,0.126
2026-01-28T20:20:00Z,5338.735,0.5,,,,,,,5350.0,0.1569,-0.1569,0.0,0.1569,0.1569
2026-01-28T20:40:00Z,5376.43,0.5,5381.5,0.0945,0.0945,0.0945,0.0,0.0945,5380.0,0.09459999999999999,-0.09459999999999999,0.0315,0.1261,0.1576
2026-01-28T21:00:00Z,5376.965,0.5,5400.0,0.0954,0.0954,0.0954,0.0,0.0954,,,,,,
2026-01-28T21:20:00Z,5386.22,0.5,,,,,,,,,,,,
